rid,text,rating,date,sentiment,score_val
hiking-boots-outdoor-4,"These boots are durable and comfortable, but they're a bit heavy.",4,2022-09-28,NEGATIVE,0.9187921285629272
women-sandals-4,"The sandals are pretty, but the heel is higher than I expected.",3,2022-09-27,POSITIVE,0.9979238510131836
cat-ear-beanie-2,"A cozy and unique beanie. Received a lot of compliments. Plus, it's cat-themed, so that's a win for me!",4,2022-09-20,POSITIVE,0.9998774528503418
men-running-shoes-4,"Best running shoes I've had in a while. They're really comfortable, even on long runs.",5,2022-09-15,POSITIVE,0.9998080134391785
kids-light-up-sneakers-4,Comfortable and fun! My child loves showing off the light-up feature to friends.,4,2022-09-15,POSITIVE,0.9998830556869507
classic-leather-sneakers-4,They're nice shoes but they felt a little tight at first. They loosened up after a few days though.,3,2022-09-12,POSITIVE,0.8111275434494019
chocolate-candy-box-3,Nice variety of flavors. The chocolate is rich and smooth.,5,2022-09-10,POSITIVE,0.9998838901519775
chocolate-candy-box-2,"I bought these as a gift, and they were well received. Will definitely purchase again.",4,2022-08-16,POSITIVE,0.9998778104782104
hiking-boots-outdoor-3,Good quality boots. They keep my feet dry and comfortable during long hikes.,4,2022-08-15,POSITIVE,0.9997811913490295
men-running-shoes-3,"These shoes look good, but they wore out a bit faster than I expected.",3,2022-08-10,NEGATIVE,0.9983672499656677
kids-light-up-sneakers-3,"Cool shoes, but the lights stopped working after a few weeks.",3,2022-08-10,NEGATIVE,0.9980431795120239
classic-leather-sneakers-3,I got the black ones and they look sleek. Got compliments on the first day I wore them out.,5,2022-08-07,POSITIVE,0.999276340007782
women-sandals-3,Absolutely love these sandals! They're so elegant and surprisingly comfortable.,5,2022-08-03,POSITIVE,0.9998863935470581
hiking-boots-outdoor-2,Comfortable and sturdy. Perfect for outdoor adventures.,5,2022-07-30,POSITIVE,0.9998775720596313
chocolate-candy-box-1,Absolutely delicious! The orange flavor is my favorite.,5,2022-07-22,POSITIVE,0.9998788833618164
men-running-shoes-2,Very happy with my purchase. These shoes provide good support for my morning jogs.,4,2022-07-20,POSITIVE,0.9998735189437866
kids-light-up-sneakers-2,"Bought these for my son's birthday, and they were the star of the party. Great shoes!",5,2022-07-20,POSITIVE,0.9998519420623779
women-sandals-2,"These sandals look great, but they're a bit tight. Maybe they'll stretch over time.",4,2022-07-18,NEGATIVE,0.93829745054245
cat-ear-beanie-1,"Love this Cat Ear Beanie! It's so cute and surprisingly warm. The material is so soft, and the cat ears are a nice touch!",5,2022-07-15,POSITIVE,0.9998829364776611
classic-leather-sneakers-2,I love the classic design of these sneakers. They match well with my outfits. The leather is of top quality.,4,2022-07-10,POSITIVE,0.9998236298561096
men-running-shoes-1,"Great shoes for running! Comfortable and stylish, with excellent traction.",5,2022-07-01,POSITIVE,0.999876856803894
kids-light-up-sneakers-1,My daughter loves these shoes! She doesn't want to take them off. They're comfortable and the lights are a big hit.,5,2022-07-01,POSITIVE,0.9996999502182007
hiking-boots-outdoor-1,These boots are fantastic for hiking. The grip on the soles is really good.,5,2022-06-15,POSITIVE,0.9998427629470825
classic-leather-sneakers-1,"These shoes are not only stylish, but also super comfortable. They're perfect for any occasion!",5,2022-06-15,POSITIVE,0.9998685121536255
women-sandals-1,Stylish and comfortable! I love the strappy design.,5,2022-06-12,POSITIVE,0.9998836517333984
